市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,緯度,経度,電話番号,FAX番号,団体名,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
022063,0000000001,青森県,十和田市,十和田湖保育園,トワダコホイクエン,認定私立保育所,青森県十和田市大字奥瀬字十和田湖畔休屋16-195,40.427047,140.897495,0176-75-2251,0176-75-2261,社会福祉法人生きがい十和田,20,0〜5歳,月火水木金土,07:00,18:30,休日保育あり,無,http://ikigai-towada.net/towadako/,
022063,0000000002,青森県,十和田市,みきの保育園,ミキノホイクエン,認定私立保育所,青森県十和田市西三番町22-35,40.610153,141.210024,0176-23-3644,0176-23-3644,社会福祉法人三徳会,90,0〜5歳,月火水木金土,07:00,19:00,,無,http://www.santokukai.or.jp/,
022063,0000000003,青森県,十和田市,とわだこ中央保育園,トワダコチュウオウホイクエン,認定私立保育所,青森県十和田市大字奥瀬字中平211,40.585924,141.110445,0176-70-3061,0176-70-3067,社会福祉法人健佑会,60,0〜5歳,月火水木金土,07:00,19:00,,有,http://towadako-chu-o.ken-yu-kai.net/,
022063,0000000004,青森県,十和田市,友愛保育園,ユウアイホイクエン,認定私立保育所,青森県十和田市東十二番町4-26,40.619164,141.220209,0176-23-3098,0176-24-3611,社会福祉法人友愛会,120,0〜5歳,月火水木金土,07:00,20:00,,有,http://www.yuuai-hoikuen.or.jp/page1,
022063,0000000005,青森県,十和田市,第二友愛保育園,ダイニユウアイホイクエン,認定私立保育所,青森県十和田市元町西四丁目10-11,40.619683,141.198508,0176-23-4514,0176-24-3612,社会福祉法人友愛会,135,0〜5歳,月火水木金土,07:00,20:00,,有,http://www.yuuai-hoikuen.or.jp/page1,
022063,0000000006,青森県,十和田市,第三友愛保育園,ダイサンユウアイホイクエン,認定私立保育所,青森県十和田市西十四番町50-18,40.601515,141.206938,0176-23-4792,0176-24-3613,社会福祉法人友愛会,120,0〜5歳,月火水木金土,07:00,20:00,,有,http://www.yuuai-hoikuen.or.jp/page1,
022063,0000000007,青森県,十和田市,豊ヶ岡保育所,トヨガオカホイクショ,認定私立保育所,青森県十和田市大字八斗沢字家ノ下465,40.671407,141.257468,0176-27-3466,0176-27-3466,社会福祉法人豊ヶ岡保育会,50,0〜5歳,月火水木金土,07:00,18:30,,無,http://www.ans.co.jp/n/toyogaoka/index2.html,
022063,0000000008,青森県,十和田市,十和田めぐみ保育園,トワダメグミホイクエン,認定私立保育所,青森県十和田市西一番町5-51,40.619689,141.205538,0176-22-0141,0176-22-0141,社会福祉法人三徳会,100,0〜5歳,月火水木金土,07:00,19:00,,無,http://www.santokukai.or.jp/,
022063,0000000009,青森県,十和田市,白菊かねざき保育園,シラギクカネザキホイクエン,認定私立保育所,青森県十和田市西二十二番町28-15,40.61045,141.193165,0176-23-4369,0176-23-4392,社会福祉法人至誠会,70,0〜5歳,月火水木金土,07:00,19:00,,無,http://shiseikai-1960.or.jp/facilities/kanezaki_nursery/,
022063,0000000010,青森県,十和田市,白菊保育園,シラギクホイクエン,認定私立保育所,青森県十和田市東六番町1-24,40.603363,141.22545,0176-23-2997,0176-23-8844,社会福祉法人至誠会,100,0〜5歳,月火水木金土,07:00,19:00,休日保育あり,無,http://shiseikai-1960.or.jp/facilities/shiragiku_nursery/,
022063,0000000011,青森県,十和田市,第二白菊保育園,ダイニシラギクホイクエン,認定私立保育所,青森県十和田市元町西三丁目11-18,40.62563,141.200694,0176-23-3829,0176-22-8139,社会福祉法人至誠会,100,0〜5歳,月火水木金土,07:00,19:00,休日保育あり,無,http://shiseikai-1960.or.jp/facilities/2shiragiku_nursery/,
022063,0000000012,青森県,十和田市,第三白菊保育園,ダイサンシラギクホイクエン,認定私立保育所,青森県十和田市東三番町9-71,40.614948,141.218684,0176-23-3363,0176-23-3400,社会福祉法人至誠会,100,0〜5歳,月火水木金土,07:00,19:00,休日保育あり,無,http://shiseikai-1960.or.jp/facilities/3shiragiku_nursery/,
022063,0000000013,青森県,十和田市,第四白菊保育園,ダイヨンシラギクホイクエン,認定私立保育所,青森県十和田市大字洞内字沼田野162,40.662037,141.196088,0176-27-2508,0176-27-2509,社会福祉法人至誠会,35,0〜5歳,月火水木金土,07:00,19:00,,無,http://shiseikai-1960.or.jp/facilities/4shiragiku_nursery/,
022063,0000000014,青森県,十和田市,第五白菊保育園,ダイゴシラギクホイクエン,認定私立保育所,青森県十和田市西二十三番町1-33,40.608809,141.201667,0176-22-1903,0176-22-1909,社会福祉法人至誠会,70,0〜5歳,月火水木金土,06:45,20:00,休日保育あり,無,http://shiseikai-1960.or.jp/facilities/5shiragiku_nursery/,
022063,0000000015,青森県,十和田市,十和田乳児保育園,トワダニュウジホイクエン,認定私立保育所,青森県十和田市東三番町9-71,40.614948,141.218684,0176-23-7119,0176-22-2766,社会福祉法人至誠会,60,0〜5歳,月火水木金土,07:00,19:30,,無,http://shiseikai-1960.or.jp/facilities/baby_nursery/,
022063,0000000016,青森県,十和田市,八郷保育園,ハチゴウホイクエン,認定私立保育所,青森県十和田市大字赤沼字下平263-359,40.604806,141.178528,0176-22-6206,0176-22-6263,社会福祉法人健佑会,60,0〜5歳,月火水木金土,07:00,19:00,,有,http://hachigou.ken-yu-kai.net/introduce/index.html,
022063,0000000017,青森県,十和田市,すずらん保育園,スズランホイクエン,認定私立保育所,青森県十和田市大字相坂字小林130-6,40.593473,141.233966,0176-22-2590,0176-22-2590,社会福祉法人誓心会,60,0〜5歳,月火水木金土,07:00,18:30,,有,http://suzuran-towada.net/about.php,
022063,0000000018,青森県,十和田市,わんぱく広場保育園,ワンパクヒロバホイクエン,認定私立保育所,青森県十和田市大字三本木字一本木沢48-2,40.634143,141.233682,0176-24-1089,0176-24-1089,社会福祉法人生きがい十和田,70,0〜5歳,月火水木金土,07:00,19:00,,無,http://ikigai-towada.net/wanpaku/,
022063,0000000019,青森県,十和田市,十和田つくし保育園,トワダツクシホイクエン,認定私立保育所,青森県十和田市東十五番町53-32,40.610079,141.232633,0176-25-1294,0176-27-5570,社会福祉法人開成会,25,0〜5歳,月火水木金土,07:00,21:00,休日保育あり,有,http://tsukusihoikuen.hp.gogo.jp/pc/index.html,
022063,0000000020,青森県,十和田市,ほなみ保育園,ホナミホイクエン,認定私立保育所,青森県十和田市穂並町4-40,40.607146,141.220409,0176-22-2589,0176-22-2589,社会福祉法人心輝会,30,0〜5歳,月火水木金土,07:00,19:00,,無,http://www.ans.co.jp/n/honami/,
022063,0000000021,青森県,十和田市,さくら保育園,サクラホイクエン,認定私立保育所,青森県十和田市西六番町8-19,40.596133,141.220204,0176-58-5482,0176-58-5483,社会福祉法人健佑会,35,0〜5歳,月火水木金土,07:00,19:00,,無,http://sakura.ken-yu-kai.net/,
022063,0000000022,青森県,十和田市,チビッコハウス保育園,チビッコハウスホイクエン,認定私立保育所,青森県十和田市東二十一番町2-5,40.626238,141.224041,0176-23-6333,0176-51-4552,社会福祉法人幸愛会,50,0〜5歳,月火水木金土,07:00,19:00,,有,http://www.ans.co.jp/n/chibikkohouse/about_us.html,
022063,0000000023,青森県,十和田市,小さな森こども園,チイサナモリコドモエン,認定こども園（幼保連携型）,青森県十和田市西二十一番町6-14,40.616083,141.195401,0176-23-4793,0176-23-4893,社会福祉法人北心会,100,0〜5歳,月火水木金土,07:00,19:00,,有,http://www.hokushinkai-towada.jp/hoku/01.html,
022063,0000000024,青森県,十和田市,さつき幼稚園,サツキヨウチエン,認定こども園（幼保連携型）,青森県十和田市西十四番町19-13,40.603954,141.210596,0176-22-1636,0176-22-1668,学校法人さつき学園,160,0〜5歳,月火水木金土,07:00,19:00,,有,http://satsuki.aomori.jp/index.shtml,
022063,0000000025,青森県,十和田市,まきばのこども園,マキバノコドモエン,認定こども園（幼保連携型）,青森県十和田市東二十三番町10-8,40.621206,141.230294,0176-22-1456,0176-22-1862,社会福祉法人如水会,100,0〜5歳,月火水木金土,07:00,19:00,,無,http://makibanokodomoen.com/,
022063,0000000026,青森県,十和田市,まるくこども園,マルクコドモエン,認定こども園（幼保連携型）,青森県十和田市大字深持字佐々木平234-1 ,40.62026,141.164381,0176-21-4703,0176-21-4704,社会福祉法人純心会,60,0〜5歳,月火水木金土,07:30,19:00,休日保育あり,有,http://3heart.jp/index.php?id=2,
022063,0000000027,青森県,十和田市,緑と太陽の保育園,ミドリトタイヨウノホイクエン,認定こども園（幼保連携型）,青森県十和田市東一番町10-18,40.623563,141.203225,0176-24-3088,0176-21-4788,社会福祉法人さつき会,100,0〜5歳,月火水木金土,07:00,20:00,,有,http://midori-taiyou.aomori.jp/,
022063,0000000028,青森県,十和田市,ひかり保育園,ヒカリホイクエン,認定こども園（保育所型）,青森県十和田市穂並町4-60,40.607893,141.219576,0176-23-3446,0176-23-3446,宗教法人日本基督教団三本木教会,50,0〜5歳,月火水木金土,07:00,19:00,,有,http://towada-hikari.jp/,
022063,0000000029,青森県,十和田市,十和田みなみ幼稚園,トワダミナミヨウチエン,認定こども園（幼稚園型）,青森県十和田市穂並町4-55,40.60749,141.220048,0176-23-3797,0176-23-3732,学校法人吉田学園,80,2〜5歳,月火水木金土,07:30,18:30,,有,http://academic2.plala.or.jp/minamiyo/index.htm,
022063,0000000030,青森県,十和田市,北園幼稚園,キタゾノヨウチエン,私立幼稚園,青森県十和田市西二十一番町68-53,40.612455,141.188679,0176-22-1871,0176-22-2544,学校法人青森山田学園,15,3〜5歳,月火水木金土,07:30,18:00,,無,http://www.kitazono.ed.jp/,
